epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
105,17907.5,0.38494,0.17628,0.00094,0.99631,0.99431,0.99451,0.97382,0.28317,0.09562,0.00082,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
106,18076.5,0.38289,0.17784,0.00094,0.9964,0.99384,0.99452,0.97372,0.283,0.09541,0.00082,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
107,18245.6,0.38585,0.17694,0.00094,0.99599,0.99451,0.99452,0.97389,0.28277,0.09495,0.00082,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
108,18414.6,0.38199,0.17542,0.00093,0.99694,0.99386,0.99453,0.97399,0.28257,0.09491,0.00082,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035,0.0141105,0.0047035
109,18583.6,0.38008,0.17419,0.00093,0.99682,0.99381,0.99452,0.97394,0.28255,0.09478,0.00082,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,18752.7,0.37901,0.17402,0.00093,0.99684,0.99389,0.99455,0.97421,0.28229,0.09502,0.00082,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,18922.1,0.37693,0.17665,0.00092,0.99665,0.99445,0.99458,0.97416,0.28226,0.09464,0.00082,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,19091.8,0.37672,0.17373,0.00092,0.99671,0.99425,0.99459,0.97427,0.28185,0.09464,0.00082,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,19261.7,0.37511,0.17279,0.00091,0.99575,0.99472,0.99457,0.97423,0.28166,0.09516,0.00082,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,19431.4,0.37438,0.17179,0.00091,0.99615,0.99429,0.99459,0.97427,0.28155,0.09491,0.00082,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,19601.2,0.37265,0.16943,0.0009,0.99541,0.99544,0.99461,0.97428,0.28149,0.09414,0.00082,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,19771.1,0.37364,0.17252,0.00092,0.99643,0.99496,0.99461,0.9742,0.28187,0.0944,0.00082,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,19940.9,0.37158,0.16792,0.00091,0.99636,0.99467,0.9946,0.97423,0.28196,0.09455,0.00082,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,20111.4,0.36935,0.16788,0.0009,0.99652,0.99496,0.99461,0.97434,0.28151,0.09393,0.00082,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
